Periodo; Custo Total; Custo GT; Custo Deficit Energia; Custo Deficit Capacidade; Custo Bombeamento; Custo Intercambio; Custo Penalidades GH; Custo Investimento
71; 3498913147.016326; 874010266.5468967; 1579704741.1515417; 486796907.35274315; 0.0; 97.64310913510063; 0.0; 558401134.3220352
72; 1463639538.293508; 547501046.6241382; 357737252.99104893; 0.0; 0.0; 104.3562856898149; 0.0; 558401134.3220352
73; 2241765129.494259; 1353087370.1391425; 0.0; 0.0; 0.0; 128.39356806027843; 0.0; 888677630.9615483
74; 1649944031.5561662; 761266250.0905347; 0.0; 0.0; 0.0; 150.50408299248488; 0.0; 888677630.9615483
75; 1580091047.905087; 691413272.2762369; 0.0; 0.0; 0.0; 144.66730181548667; 0.0; 888677630.9615483
76; 1576630456.9576583; 687952690.9599508; 0.0; 0.0; 0.0; 135.03615928918117; 0.0; 888677630.9615483
77; 1528436409.3161893; 639758659.2379146; 0.0; 0.0; 0.0; 119.11672621133425; 0.0; 888677630.9615483
78; 1540510519.731322; 651832784.7475889; 0.0; 0.0; 0.0; 104.022184880828; 0.0; 888677630.9615483
79; 2030352903.811513; 1119887452.3963635; 0.0; 0.0; 0.0; 89.70109906888442; 0.0; 910465361.7140503
80; 2119067918.2838182; 1186289320.9442246; 22313148.584543575; 0.0; 0.0; 87.04100006099054; 0.0; 910465361.7140503
81; 3628957375.7144175; 1188537841.0070207; 667349550.9037155; 862604523.3038679; 0.0; 98.78576272216635; 0.0; 910465361.7140503
82; 4575798030.563552; 1195011817.9812582; 1270808467.4494343; 1132440818.077382; 0.0; 100.58545375585064; 67071464.75597335; 910465361.7140503
83; 4434161665.094546; 1165520783.3729246; 1660830038.2118075; 697345384.4683121; 0.0; 97.32745127633738; 0.0; 910465361.7140503
84; 2167866383.9359465; 840282870.05999; 417118047.2008883; 0.0; 0.0; 104.96101777830422; 0.0; 910465361.7140503
85; 3122258612.9325714; 1758524394.9311764; 0.0; 0.0; 0.0; 128.24394137244664; 0.0; 1363734089.757454
86; 2420973516.066962; 1057239275.330146; 0.0; 0.0; 0.0; 150.97936187398957; 0.0; 1363734089.757454
87; 2398641651.8132377; 1034907411.4775748; 0.0; 0.0; 0.0; 150.5782090709458; 0.0; 1363734089.757454
88; 2389417081.1495256; 1025682852.7194754; 0.0; 0.0; 0.0; 138.67259652446847; 0.0; 1363734089.757454
89; 2339532294.363185; 975798082.7556714; 0.0; 0.0; 0.0; 121.85006002667696; 0.0; 1363734089.757454
90; 2351447927.084343; 987713732.536028; 0.0; 0.0; 0.0; 104.79086097658539; 0.0; 1363734089.757454
91; 2841054758.1832495; 1455532846.6075003; 0.0; 0.0; 0.0; 91.06579313187139; 0.0; 1385521820.509956
92; 2962823359.034135; 1523159712.6282077; 54141738.43489507; 0.0; 0.0; 87.46107624444198; 0.0; 1385521820.509956
93; 4579255936.756306; 1526775436.2291524; 690955002.6354499; 976003579.45356; 0.0; 97.92818832121732; 0.0; 1385521820.509956
94; 5558739326.531663; 1534161556.3223855; 1303830121.115648; 1268154264.6963027; 0.0; 99.13139843415732; 67071464.75597335; 1385521820.509956
95; 5411084810.207289; 1506963238.769628; 1693503640.684799; 825096014.3463615; 0.0; 95.89654521017273; 0.0; 1385521820.509956
96; 2991898394.2899094; 1183369113.157496; 423007355.103643; 0.0; 0.0; 105.51881457037315; 0.0; 1385521820.509956
97; 3747274100.802332; 1944314213.0592391; 0.0; 0.0; 0.0; 128.07476482175502; 0.0; 1802959759.6683283
98; 3127115155.2966843; 1324155243.1225867; 0.0; 0.0; 0.0; 152.50576903645944; 0.0; 1802959759.6683283
99; 3009437032.191832; 1206477124.2660668; 0.0; 0.0; 0.0; 148.2574370990248; 0.0; 1802959759.6683283
100; 3000787318.7924204; 1197827417.534822; 0.0; 0.0; 0.0; 141.58927016328093; 0.0; 1802959759.6683283
101; 2949455213.1038694; 1146495329.0618224; 0.0; 0.0; 0.0; 124.37371904962826; 0.0; 1802959759.6683283
102; 2961235066.482148; 1158275200.1816704; 0.0; 0.0; 0.0; 106.63214949550957; 0.0; 1802959759.6683283
103; 3450222992.3879824; 1625475408.3390868; 0.0; 0.0; 0.0; 93.6280658982538; 0.0; 1824747490.4208302
104; 3583125464.2707205; 1694454225.0156312; 63923659.096673; 0.0; 0.0; 89.73758615002603; 0.0; 1824747490.4208302
105; 5318181483.333002; 1699572034.3982775; 710419726.3036262; 1083442133.4076762; 0.0; 98.80259244346047; 0.0; 1824747490.4208302
106; 6294406148.478872; 1708095315.6385746; 1318469403.1945524; 1376022374.7044861; 0.0; 99.76445633365516; 67071464.7559734; 1824747490.4208302
107; 6146660156.330156; 1683201373.6198597; 1709775275.0158184; 928935920.6316593; 0.0; 96.6419897065218; 0.0; 1824747490.4208302
108; 3617583020.321845; 1361070991.0943105; 431764432.5643396; 0.0; 0.0; 106.24236435020688; 0.0; 1824747490.4208302
109; 4426311931.069209; 2141766689.9704626; 0.0; 0.0; 0.0; 125.73271817161333; 0.0; 2284545115.3660283
110; 3798859815.584834; 1514314548.5636308; 0.0; 0.0; 0.0; 151.65517481307975; 0.0; 2284545115.3660283
111; 3666955913.74269; 1382410649.463727; 0.0; 0.0; 0.0; 148.9129347726743; 0.0; 2284545115.3660283
112; 3652380500.7312365; 1367835242.1842275; 0.0; 0.0; 0.0; 143.1809808381468; 0.0; 2284545115.3660283
113; 3599142199.585725; 1314596956.6762743; 0.0; 0.0; 0.0; 127.5434220443106; 0.0; 2284545115.3660283
114; 3610859255.4413166; 1326314030.432202; 0.0; 0.0; 0.0; 109.64308647343732; 0.0; 2284545115.3660283
115; 4099725325.6295843; 1792230514.3213887; 0.0; 0.0; 0.0; 96.52127439196028; 0.0; 2307494714.7869205
116; 4229023908.7353067; 1862475524.118917; 59053578.01095233; 0.0; 0.0; 91.81851690862896; 0.0; 2307494714.7869205
117; 5998530382.286424; 1872166459.2994244; 706004998.9109712; 1112864110.0340624; 0.0; 99.25504450461747; 0.0; 2307494714.7869205
118; 6952621437.426157; 1882795096.812855; 1315689540.6577513; 1379570521.0358243; 0.0; 99.37683287664477; 67071464.7559734; 2307494714.7869205
119; 6792146764.486456; 1861125707.7362425; 1708109206.7888772; 915417038.5959984; 0.0; 96.57841697066422; 0.0; 2307494714.7869205
120; 4259485492.672924; 1539114643.2061074; 412876027.96059334; 0.0; 0.0; 106.71930262478243; 0.0; 2307494714.7869205
121; 5196060864.969989; 2127147335.0976365; 0.0; 0.0; 0.0; 123.98226963388245; 0.0; 3068913405.890083
122; 4630203266.861163; 1561289710.620807; 0.0; 0.0; 0.0; 150.35027358045915; 0.0; 3068913405.890083
123; 4542607482.94179; 1473693930.371758; 0.0; 0.0; 0.0; 146.67994875723213; 0.0; 3068913405.890083
124; 4496528125.638509; 1427614577.8103342; 0.0; 0.0; 0.0; 141.93809202267806; 0.0; 3068913405.890083
125; 4440033457.12583; 1371119920.314301; 0.0; 0.0; 0.0; 130.92144591230283; 0.0; 3068913405.890083
126; 4451745681.817629; 1382832166.6676712; 0.0; 0.0; 0.0; 109.25987469631954; 0.0; 3068913405.890083
127; 4937861243.197557; 1847160010.6241264; 0.0; 0.0; 0.0; 95.93084673046977; 0.0; 3090701136.642585
128; 4937861238.699284; 1847160010.6241257; 0.0; 0.0; 0.0; 91.4325732956143; 0.0; 3090701136.642585
129; 4966995158.7681675; 1876293923.8203976; 0.0; 0.0; 0.0; 98.30518490806563; 0.0; 3090701136.642585
130; 5262574777.258636; 1946537000.5095186; 158265076.1948493; 0.0; 0.0; 99.15570994480301; 67071464.7559734; 3090701136.642585
131; 5703791333.172602; 1927225974.6452832; 685864125.510828; 0.0; 0.0; 96.37390533426463; 0.0; 3090701136.642585
132; 4642021873.757592; 1551320630.7709446; 0.0; 0.0; 0.0; 106.34406309407295; 0.0; 3090701136.642585
133; 5947940072.65185; 2388623314.871573; 0.0; 0.0; 0.0; 123.47323183117068; 0.0; 3559316634.3070455
134; 5173339921.243759; 1614023138.1438656; 0.0; 0.0; 0.0; 148.7928481537779; 0.0; 3559316634.3070455
135; 5170951430.544359; 1611634647.7996182; 0.0; 0.0; 0.0; 148.43769522377198; 0.0; 3559316634.3070455
136; 5029175059.014923; 1469858277.3083434; 0.0; 0.0; 0.0; 147.39953505705742; 0.0; 3559316634.3070455
137; 4980970614.322952; 1421653839.9853783; 0.0; 0.0; 0.0; 140.03052788401544; 0.0; 3559316634.3070455
138; 4976011657.661676; 1416694904.5957282; 0.0; 0.0; 0.0; 118.75890359324924; 0.0; 3559316634.3070455
139; 5461165930.188425; 1880061462.456955; 0.0; 0.0; 0.0; 102.67192190880577; 0.0; 3581104365.0595474
140; 5461165923.718552; 1880061462.4569538; 0.0; 0.0; 0.0; 96.20205093271144; 0.0; 3581104365.0595474
141; 5500428460.790558; 1919323995.5398934; 0.0; 0.0; 0.0; 100.19111648764323; 0.0; 3581104365.0595474
142; 5833645173.177517; 1994801104.103424; 190668138.7794978; 0.0; 0.0; 100.47907420735828; 67071464.75597335; 3581104365.0595474
143; 6276390785.664354; 1979300255.1186435; 715986067.4022398; 0.0; 0.0; 98.083923985936; 0.0; 3581104365.0595474
144; 5183224440.730788; 1602119968.6456947; 0.0; 0.0; 0.0; 107.02554608438737; 0.0; 3581104365.0595474
145; 6781806643.704223; 2708947778.2694316; 0.0; 0.0; 0.0; 121.46087396787242; 0.0; 4072858743.973917
146; 6034662470.905083; 1961803578.380969; 0.0; 0.0; 0.0; 148.55019620749007; 0.0; 4072858743.973917
147; 5749086150.107562; 1676227259.8027568; 0.0; 0.0; 0.0; 146.3308881243824; 0.0; 4072858743.973917
148; 5599160136.660292; 1526301242.195546; 0.0; 0.0; 0.0; 150.4908290049634; 0.0; 4072858743.973917
149; 5553300749.416096; 1480441862.9160204; 0.0; 0.0; 0.0; 142.52615868218328; 0.0; 4072858743.973917
150; 5523362885.098854; 1450504013.5798342; 0.0; 0.0; 0.0; 127.54510321723798; 0.0; 4072858743.973917
151; 6006474746.983725; 1912747319.6127198; 0.0; 0.0; 0.0; 108.27946844639601; 0.0; 4093727319.091536
152; 6009441996.324836; 1915714578.8555877; 0.0; 0.0; 0.0; 98.37771182636732; 0.0; 4093727319.091536
153; 6060441167.005956; 1966713745.2536254; 0.0; 0.0; 0.0; 102.66079434415748; 0.0; 4093727319.091536
154; 6458615717.767159; 2049259758.6515915; 248557073.7891803; 0.0; 0.0; 101.4788771444279; 67071464.7559734; 4093727319.091536
155; 6909165390.7665615; 2040582157.947303; 774855815.282075; 0.0; 0.0; 98.44564730158258; 0.0; 4093727319.091536
156; 5771549938.819895; 1677822512.6676233; 0.0; 0.0; 0.0; 107.06073530938373; 0.0; 4093727319.091536
157; 7668584857.533754; 3041274224.0543437; 0.0; 0.0; 0.0; 123.99373383113534; 0.0; 4627310509.485676
158; 6852523006.038601; 2225212347.919412; 0.0; 0.0; 0.0; 148.63351270599304; 0.0; 4627310509.485676
159; 6469553456.750803; 1842242800.5987043; 0.0; 0.0; 0.0; 146.6664223286643; 0.0; 4627310509.485676
160; 6181633616.335617; 1554322952.9435399; 0.0; 0.0; 0.0; 153.90640146688946; 0.0; 4627310509.485676
161; 6123358160.688126; 1496047502.8158991; 0.0; 0.0; 0.0; 148.38655063465208; 0.0; 4627310509.485676
162; 6088879980.565369; 1461569336.0048995; 0.0; 0.0; 0.0; 135.07479345114533; 0.0; 4627310509.485676
163; 6569742944.204732; 1922482899.569218; 0.0; 0.0; 0.0; 115.66710263895546; 0.0; 4647259928.968411
164; 6577957074.060403; 1930697041.5395632; 0.0; 0.0; 0.0; 103.55242806930404; 0.0; 4647259928.968411
165; 6637578186.453251; 1990318149.761798; 0.0; 0.0; 0.0; 107.72304104543923; 0.0; 4647259928.968411
166; 7101673235.986151; 2076732246.6202629; 310609490.3417911; 0.0; 0.0; 105.29971151661776; 67071464.7559734; 4647259928.968411
167; 7638929292.165777; 2155077843.788782; 836591418.9853842; 0.0; 0.0; 100.4231998062765; 0.0; 4647259928.968411
168; 6461102562.6793585; 1813842525.7392635; 0.0; 0.0; 0.0; 107.97168342611471; 0.0; 4647259928.968411
169; 8623165994.790043; 3451704614.4499154; 0.0; 0.0; 0.0; 122.85097033141344; 0.0; 5171461257.489157
170; 7774652897.536352; 2603191493.0301623; 0.0; 0.0; 0.0; 147.01703326607088; 0.0; 5171461257.489157
171; 7297509909.852018; 2126048504.3967726; 0.0; 0.0; 0.0; 147.96608901402044; 0.0; 5171461257.489157
172; 6781666040.609517; 1610204627.3515153; 0.0; 0.0; 0.0; 155.7688448761861; 0.0; 5171461257.489157
173; 6705496978.76016; 1534035567.9792893; 0.0; 0.0; 0.0; 153.2917137611223; 0.0; 5171461257.489157
174; 6694178671.885742; 1522717274.9615054; 0.0; 0.0; 0.0; 139.43507987752994; 0.0; 5171461257.489157
175; 7140172941.598973; 1949681300.4897969; 0.0; 0.0; 0.0; 119.77216775115164; 0.0; 5190491521.337008
176; 7154888165.630463; 1964396537.8249676; 0.0; 0.0; 0.0; 106.46848659647625; 0.0; 5190491521.337008
177; 7233860699.944952; 2043369067.4994674; 0.0; 0.0; 0.0; 111.10847558294162; 0.0; 5190491521.337008
178; 7785087958.790232; 2155788490.4532237; 371736376.57427126; 0.0; 0.0; 105.66975565251215; 67071464.7559734; 5190491521.337008
179; 8423621124.893332; 2336144270.357532; 896985234.3550671; 0.0; 0.0; 98.84372419550824; 0.0; 5190491521.337008
180; 7212497640.61639; 2022006012.771634; 0.0; 0.0; 0.0; 106.507747001828; 0.0; 5190491521.337008
181; 11613413788.259853; 5835526984.330764; 0.0; 0.0; 0.0; 121.46370523609758; 0.0; 5777886682.4653845
182; 9880278132.422104; 4102391303.191916; 0.0; 0.0; 0.0; 146.76480437792918; 0.0; 5777886682.4653845
183; 10000450628.153324; 4222563802.8886585; 0.0; 0.0; 0.0; 142.79928245459183; 0.0; 5777886682.4653845
184; 8783593391.739931; 3005706554.9970145; 0.0; 0.0; 0.0; 154.27753165204675; 0.0; 5777886682.4653845
185; 8553766280.604345; 2775879442.093771; 0.0; 0.0; 0.0; 156.04519016808075; 0.0; 5777886682.4653845
186; 8572453683.797176; 2794566860.8034806; 0.0; 0.0; 0.0; 140.52831188112123; 0.0; 5777886682.4653845
187; 9086113585.07394; 3308226776.1271605; 0.0; 0.0; 0.0; 126.4813955706042; 0.0; 5777886682.4653845
188; 9113379615.42717; 3335492824.458952; 0.0; 0.0; 0.0; 108.502833926703; 0.0; 5777886682.4653845
189; 9319606213.638065; 3541719419.7026424; 0.0; 0.0; 0.0; 111.4700389936505; 0.0; 5777886682.4653845
190; 9985874570.470715; 3614220549.4294534; 526695768.294026; 0.0; 0.0; 105.52587632154028; 67071464.7559734; 5777886682.4653845
191; 10824020663.480362; 3996369819.8298516; 1049764063.7521735; 0.0; 0.0; 97.4329512538531; 0.0; 5777886682.4653845
192; 9376602025.884943; 3598715238.319287; 0.0; 0.0; 0.0; 105.10027123952156; 0.0; 5777886682.4653845
